Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
6;;;;0.0;-0.8;-5.6;0.0;-4.6;-2.3;-4.8;
;;;;;;;;;;;
7;8;0.000;max;0.0;0.0;0.0;0.0;4.1;0.0;0.0;
7;8;0.000;min;0.0;0.0;0.0;0.0;-3.4;-0.5;0.0;
7;8;0.000;max;0.0;0.0;0.0;0.0;4.1;0.0;0.0;
7;8;0.000;min;0.0;0.0;0.0;0.0;-3.4;-0.5;0.0;
7;;1.738;max;5.9;0.7;5.9;0.1;2.0;0.0;0.0;
7;;1.738;min;4.5;0.0;-4.5;0.0;-1.4;-0.2;0.0;
7;;2.238;max;6.6;0.8;6.6;0.1;1.0;0.1;0.0;
7;;2.238;min;4.8;0.0;-4.8;0.0;-1.0;-0.1;0.0;
7;3;4.500;max;4.8;0.6;4.8;0.1;3.0;0.6;0.0;
7;3;4.500;min;4.5;-0.4;-4.5;0.1;-1.7;-0.1;0.0;
7;3;4.500;max;4.8;0.6;4.8;0.1;3.0;0.6;0.0;
7;3;4.500;min;4.5;-0.4;-4.5;0.1;-1.7;-0.1;0.0;
Extremes;;2.250;u_X;6.7;0.8;6.6;0.1;0.9;0.1;0.0;CO6
7;3;4.500;u_X;4.5;-0.4;-4.5;0.1;-1.7;-0.1;0.0;CO15
7;;2.500;u_Y;6.8;0.8;6.8;0.1;0.6;0.2;0.0;CO16
7;;2.238;u_Y;4.8;0.0;-4.8;0.0;-1.0;-0.1;0.0;CO12
7;3;4.500;u_Z;4.8;0.6;4.8;0.1;3.0;0.6;0.0;CO5
7;8;0.000;u_Z;0.0;0.0;0.0;0.0;-3.4;-0.5;0.0;CO1
7;8;0.000;φ_X;0.0;0.0;0.0;0.0;4.1;0.0;0.0;CO16
7;8;0.000;φ_X;0.0;0.0;0.0;0.0;-3.4;-0.5;0.0;CO12
7;3;4.500;φ_Y;4.8;0.6;4.8;0.1;3.0;0.6;0.0;CO5
7;8;0.000;φ_Y;0.0;0.0;0.0;0.0;-3.4;-0.5;0.0;CO5
7;8;0.000;φ_Z;0.0;0.0;0.0;0.0;4.1;0.0;0.0;CO1
7;8;0.000;φ_Z;0.0;0.0;0.0;0.0;-3.4;-0.5;0.0;CO1
Total;;;;6.8;0.8;6.8;0.1;4.1;0.6;0.0;
7;;;;0.0;-0.4;-4.8;0.0;-3.4;-0.5;0.0;
;;;;;;;;;;;
8;9;0.000;max;0.0;0.0;0.0;0.0;5.4;0.0;0.0;
8;9;0.000;min;0.0;0.0;0.0;0.0;-3.9;-0.6;0.0;
8;9;0.000;max;0.0;0.0;0.0;0.0;5.4;0.0;0.0;
8;9;0.000;min;0.0;0.0;0.0;0.0;-3.9;-0.6;0.0;
8;;2.238;max;9.2;1.0;9.2;0.1;1.7;0.1;0.0;
8;;2.238;min;6.0;0.0;-6.0;0.0;-1.4;-0.1;0.0;
8;4;5.000;max;6.2;0.5;6.2;0.2;3.5;0.7;0.0;
8;4;5.000;min;6.0;-0.6;-6.0;0.1;-2.6;-0.1;0.0;
8;4;5.000;max;6.2;0.5;6.2;0.2;3.5;0.7;0.0;
8;4;5.000;min;6.0;-0.6;-6.0;0.1;-2.6;-0.1;0.0;
Extremes;;2.500;u_X;9.6;1.0;9.5;0.1;1.1;0.1;0.0;CO6
8;4;5.000;u_X;6.0;-0.6;-6.0;0.1;-2.6;-0.1;0.0;CO15
8;;3.000;u_Y;9.8;0.9;9.7;0.1;1.2;0.3;0.0;CO16
8;;3.500;u_Y;6.4;0.0;-6.4;0.0;-1.1;-0.1;0.0;CO18
8;4;5.000;u_Z;6.2;0.5;6.2;0.2;3.5;0.7;0.0;CO7
8;9;0.000;u_Z;0.0;0.0;0.0;0.0;-3.9;-0.6;0.0;CO1
8;9;0.000;φ_X;0.0;0.0;0.0;0.0;5.4;0.0;0.0;CO16
8;9;0.000;φ_X;0.0;0.0;0.0;0.0;-3.9;-0.6;0.0;CO15
8;4;5.000;φ_Y;6.2;0.5;6.2;0.2;3.5;0.7;0.0;CO5
8;9;0.000;φ_Y;0.0;0.0;0.0;0.0;-3.9;-0.6;0.0;CO6
8;9;0.000;φ_Z;0.0;0.0;0.0;0.0;5.4;0.0;0.0;CO1
