Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;144;98;0.000;;-77.63;0.01;-30.71;-0.02;113.39;0.84;Beam | 1 - IPE 500 | L : 1.575 m
1;144;22;1.575;;-77.76;0.05;-32.74;-0.03;63.40;0.85;Beam | 1 - IPE 500 | L : 1.575 m
1;145;97;0.000;;-74.11;0.37;-46.63;0.09;60.69;0.84;Beam | 1 - IPE 500 | L : 1.650 m
1;145;96;1.650;;-74.28;0.29;-48.67;0.08;-17.96;0.25;Beam | 1 - IPE 500 | L : 1.650 m
1;146;96;0.000;;-75.47;0.44;-61.34;0.10;-18.13;0.24;Beam | 1 - IPE 500 | L : 1.650 m
1;146;95;1.650;;-75.73;0.30;-63.27;0.07;-120.97;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
1;147;95;0.000;;-76.93;0.43;-75.93;0.10;-121.14;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
1;147;23;1.650;;-77.35;0.18;-77.71;0.04;-247.95;-0.10;Beam | 1 - IPE 500 | L : 1.650 m
1;162;111;0.000;;-67.91;-0.32;66.06;-0.06;-126.67;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;162;112;1.650;;-67.64;-0.47;64.13;-0.10;-19.23;0.26;Beam | 1 - IPE 500 | L : 1.650 m
1;163;112;0.000;;-66.47;-0.32;51.46;-0.08;-19.70;0.26;Beam | 1 - IPE 500 | L : 1.650 m
1;163;113;1.650;;-66.30;-0.40;49.42;-0.09;63.56;0.90;Beam | 1 - IPE 500 | L : 1.650 m
1;164;113;0.000;;-65.11;0.04;36.76;0.03;63.09;0.90;Beam | 1 - IPE 500 | L : 0.075 m
1;164;13;0.075;;-65.10;0.05;36.66;0.03;65.84;0.89;Beam | 1 - IPE 500 | L : 0.075 m
1;165;114;0.000;;-52.33;0.11;20.86;0.05;119.76;0.93;Beam | 1 - IPE 500 | L : 1.650 m
1;165;115;1.650;;-52.18;0.15;18.73;0.03;152.43;0.54;Beam | 1 - IPE 500 | L : 1.650 m
1;166;115;0.000;;-50.95;0.28;6.07;0.05;151.96;0.54;Beam | 1 - IPE 500 | L : 1.650 m
1;166;117;1.650;;-50.76;0.29;3.93;0.00;160.21;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
1;167;117;0.000;;-50.00;0.43;-3.74;0.04;159.93;-0.21;Beam | 1 - IPE 500 | L : 0.150 m
1;167;14;0.150;;-49.98;0.42;-3.93;0.03;159.35;-0.31;Beam | 1 - IPE 500 | L : 0.150 m
1;168;128;0.000;;-50.72;-0.29;-3.90;0.00;159.83;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;168;127;1.650;;-50.90;-0.29;-6.04;-0.05;151.62;0.53;Beam | 1 - IPE 500 | L : 1.650 m
1;169;127;0.000;;-52.13;-0.15;-18.70;-0.03;151.46;0.52;Beam | 1 - IPE 500 | L : 1.650 m
1;169;126;1.650;;-52.28;-0.12;-20.83;-0.05;118.83;0.91;Beam | 1 - IPE 500 | L : 1.650 m
1;170;126;0.000;;-53.49;0.04;-33.50;-0.02;118.66;0.91;Beam | 1 - IPE 500 | L : 1.575 m
1;170;15;1.575;;-53.62;0.08;-35.49;-0.03;64.32;0.88;Beam | 1 - IPE 500 | L : 1.575 m
1;171;125;0.000;;-66.22;0.39;-49.40;0.09;61.40;0.87;Beam | 1 - IPE 500 | L : 1.650 m
1;171;124;1.650;;-66.39;0.31;-51.43;0.08;-21.80;0.24;Beam | 1 - IPE 500 | L : 1.650 m
1;172;124;0.000;;-67.57;0.46;-64.10;0.10;-21.97;0.24;Beam | 1 - IPE 500 | L : 1.650 m
1;172;123;1.650;;-67.84;0.31;-66.03;0.06;-129.36;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;173;123;0.000;;-69.03;0.52;-78.69;0.11;-129.53;-0.22;Beam | 1 - IPE 500 | L : 1.650 m
1;173;16;1.650;;-69.48;0.22;-80.48;0.05;-260.90;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;13;14;0.000;N;-49.94;-0.43;3.96;-0.03;159.35;-0.31;Beam | 1 - IPE 500 | L : 0.150 m
1;10;11;0.000;N;-111.30;0.04;-65.59;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;173;123;0.000;V_y;-69.03;0.52;-78.69;0.11;-129.53;-0.22;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;V_y;-69.10;-0.52;78.72;-0.12;-126.21;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;11;12;0.000;V_z;-69.55;-0.22;80.52;-0.05;-257.63;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;173;16;1.650;V_z;-69.48;0.22;-80.48;0.05;-260.90;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;173;123;0.000;M_T;-69.03;0.52;-78.69;0.11;-129.53;-0.22;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;M_T;-69.10;-0.52;78.72;-0.12;-126.21;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;15;16;4.000;M_y;-106.63;0.01;61.93;-0.09;260.98;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;173;16;1.650;M_y;-69.48;0.22;-80.48;0.05;-260.90;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;12;;1.378;M_z;-53.54;-0.05;33.77;0.03;113.60;0.93;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;M_z;-74.05;-0.41;6.83;-0.03;144.32;-0.35;Beam | 1 - IPE 500 | L : 0.150 m
Total;;;;;-49.94;0.52;80.52;0.11;260.98;0.93;
1;;;;;-111.30;-0.52;-80.48;-0.12;-260.90;-0.35;
;;;;;;;;;;;
2;HEA 160 | 1 - S235;;;;;;;;;;
2;1;1;0.000;;-11.82;-0.78;-2.31;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
2;1;1;0.000;;-11.82;-0.78;-2.31;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
2;1;;1.500;;-11.21;-0.11;-1.35;0.01;-2.75;0.67;Beam | 2 - HEA 160 | L : 4.000 m
2;1;;1.500;;-11.21;-0.11;-1.35;0.01;-2.75;0.67;Beam | 2 - HEA 160 | L : 4.000 m
2;1;;1.738;;-11.11;-0.01;-1.20;0.00;-3.05;0.68;Beam | 2 - HEA 160 | L : 4.000 m
2;1;2;4.000;;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
2;1;2;4.000;;-10.18;0.50;-0.62;0.00;-4.83;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
2;6;7;0.000;;-11.58;-0.78;2.68;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
2;6;7;0.000;;-11.58;-0.78;2.68;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
2;6;;1.500;;-10.97;-0.11;1.43;-0.01;3.08;0.67;Beam | 2 - HEA 160 | L : 4.000 m
2;6;;1.500;;-10.97;-0.11;1.43;-0.01;3.08;0.67;Beam | 2 - HEA 160 | L : 4.000 m
2;6;;1.738;;-10.87;-0.01;1.24;-0.01;3.40;0.68;Beam | 2 - HEA 160 | L : 4.000 m
2;6;6;4.000;;-9.95;0.50;0.27;0.00;4.82;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
2;6;6;4.000;;-9.95;0.50;0.27;0.00;4.82;-0.06;Beam | 2 - HEA 160 | L : 4.000 m
2;7;8;0.000;;-24.43;0.40;1.79;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
2;7;8;0.000;;-24.43;0.40;1.79;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
2;7;;1.738;;-23.72;0.09;0.25;0.00;1.77;-0.42;Beam | 2 - HEA 160 | L : 4.500 m
2;7;;2.238;;-23.51;0.00;-0.18;0.00;1.79;-0.44;Beam | 2 - HEA 160 | L : 4.500 m
2;7;3;4.500;;-22.58;-0.38;-1.10;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
2;7;3;4.500;;-22.58;-0.38;-1.10;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
2;8;9;0.000;;-23.73;0.39;2.00;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
