Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;Obergurt;;;;;;;;;;
1;190;141;0.000;V_y;-2.64;0.33;-3.82;-0.33;-2.09;-1.87;CO31
1;190;141;0.000;V_y;4.11;-0.37;-7.04;0.26;-3.99;1.29;CO35
1;190;141;0.000;V_z;-2.64;0.33;-3.82;-0.33;-2.09;-1.87;CO31
1;190;141;0.000;V_z;2.51;-0.23;-9.78;0.15;-5.44;0.78;CO25
1;190;141;0.000;M_T;4.11;-0.37;-7.04;0.26;-3.99;1.29;CO35
1;190;141;0.000;M_T;-2.60;0.32;-6.67;-0.33;-3.63;-1.87;CO36
1;190;141;0.000;M_y;1.09;0.18;-3.90;-0.19;-1.98;-1.02;CO29
1;190;141;0.000;M_y;2.51;-0.23;-9.78;0.15;-5.44;0.78;CO25
1;190;141;0.000;M_z;4.11;-0.37;-7.04;0.26;-3.99;1.29;CO35
1;190;141;0.000;M_z;-2.64;0.33;-3.82;-0.33;-2.09;-1.87;CO31
1;190;;0.037;N;4.11;-0.38;-7.05;0.26;-4.25;1.31;CO35
1;190;;0.037;N;-2.64;0.33;-3.82;-0.33;-2.23;-1.89;CO31
1;190;;0.037;V_y;-2.64;0.33;-3.82;-0.33;-2.23;-1.89;CO31
1;190;;0.037;V_y;4.11;-0.38;-7.05;0.26;-4.25;1.31;CO35
1;190;;0.037;V_z;-2.64;0.33;-3.82;-0.33;-2.23;-1.89;CO31
1;190;;0.037;V_z;2.51;-0.24;-9.79;0.15;-5.80;0.80;CO25
1;190;;0.037;M_T;4.11;-0.38;-7.05;0.26;-4.25;1.31;CO35
1;190;;0.037;M_T;-2.60;0.33;-6.68;-0.33;-3.87;-1.89;CO36
1;190;;0.037;M_y;1.10;0.18;-3.91;-0.19;-2.13;-1.03;CO29
1;190;;0.037;M_y;2.51;-0.24;-9.79;0.15;-5.80;0.80;CO25
1;190;;0.037;M_z;4.11;-0.38;-7.05;0.26;-4.25;1.31;CO35
1;190;;0.037;M_z;-2.64;0.33;-3.82;-0.33;-2.23;-1.89;CO31
1;190;;0.037;N;4.11;-0.38;-7.05;0.26;-4.25;1.31;CO35
1;190;;0.037;N;-2.64;0.33;-3.82;-0.33;-2.23;-1.89;CO31
1;190;;0.037;V_y;-2.64;0.33;-3.82;-0.33;-2.23;-1.89;CO31
1;190;;0.037;V_y;4.11;-0.38;-7.05;0.26;-4.25;1.31;CO35
1;190;;0.037;V_z;-2.64;0.33;-3.82;-0.33;-2.23;-1.89;CO31
1;190;;0.037;V_z;2.51;-0.24;-9.79;0.15;-5.80;0.80;CO25
1;190;;0.037;M_T;4.11;-0.38;-7.05;0.26;-4.25;1.31;CO35
1;190;;0.037;M_T;-2.60;0.33;-6.68;-0.33;-3.87;-1.89;CO36
1;190;;0.037;M_y;1.10;0.18;-3.91;-0.19;-2.13;-1.03;CO29
1;190;;0.037;M_y;2.51;-0.24;-9.79;0.15;-5.80;0.80;CO25
1;190;;0.037;M_z;4.11;-0.38;-7.05;0.26;-4.25;1.31;CO35
1;190;;0.037;M_z;-2.64;0.33;-3.82;-0.33;-2.23;-1.89;CO31
1;190;3;0.075;N;4.11;-0.39;-7.06;0.26;-4.51;1.33;CO35
1;190;3;0.075;N;-2.64;0.34;-3.83;-0.33;-2.37;-1.90;CO31
1;190;3;0.075;V_y;-2.60;0.35;-6.69;-0.33;-4.12;-1.91;CO36
1;190;3;0.075;V_y;4.11;-0.39;-7.06;0.26;-4.51;1.33;CO35
1;190;3;0.075;V_z;-2.64;0.34;-3.83;-0.33;-2.37;-1.90;CO31
1;190;3;0.075;V_z;2.51;-0.25;-9.80;0.15;-6.17;0.81;CO25
1;190;3;0.075;M_T;4.11;-0.39;-7.06;0.26;-4.51;1.33;CO35
1;190;3;0.075;M_T;-2.60;0.35;-6.69;-0.33;-4.12;-1.91;CO36
1;190;3;0.075;M_y;1.10;0.19;-3.91;-0.19;-2.27;-1.04;CO29
1;190;3;0.075;M_y;2.51;-0.25;-9.80;0.15;-6.17;0.81;CO25
1;190;3;0.075;M_z;4.11;-0.39;-7.06;0.26;-4.51;1.33;CO35
1;190;3;0.075;M_z;-2.60;0.35;-6.69;-0.33;-4.12;-1.91;CO36
1;3;3;0.000;N;2.23;1.30;2.51;-0.04;-3.07;1.32;CO30
1;3;3;0.000;N;-3.67;-1.66;3.91;0.04;-4.32;-1.91;CO36
1;3;3;0.000;V_y;2.13;1.31;4.07;-0.04;-4.87;1.34;CO35
1;3;3;0.000;V_y;-3.67;-1.66;3.91;0.04;-4.32;-1.91;CO36
1;3;3;0.000;V_z;0.39;0.80;5.59;-0.02;-6.56;0.81;CO25
1;3;3;0.000;V_z;-3.26;-1.66;2.35;0.04;-2.48;-1.91;CO31
1;3;3;0.000;M_T;-3.26;-1.66;2.35;0.04;-2.48;-1.91;CO31
1;3;3;0.000;M_T;2.23;1.30;2.51;-0.04;-3.07;1.32;CO30
1;3;3;0.000;M_y;-3.26;-1.66;2.35;0.04;-2.48;-1.91;CO31
1;3;3;0.000;M_y;0.39;0.80;5.59;-0.02;-6.56;0.81;CO25
1;3;3;0.000;M_z;2.13;1.31;4.07;-0.04;-4.87;1.34;CO35
1;3;3;0.000;M_z;-3.67;-1.66;3.91;0.04;-4.32;-1.91;CO36
1;3;;0.647;N;2.25;1.18;2.36;-0.04;-1.49;0.50;CO30
1;3;;0.647;N;-3.64;-1.53;3.76;0.04;-1.84;-0.85;CO36
1;3;;0.647;V_y;2.15;1.19;3.91;-0.04;-2.29;0.50;CO35
1;3;;0.647;V_y;-3.25;-1.53;2.20;0.04;-1.02;-0.85;CO31
1;3;;0.647;V_z;-2.81;-0.52;5.44;0.01;-2.98;-0.26;CO24
1;3;;0.647;V_z;-3.25;-1.53;2.20;0.04;-1.02;-0.85;CO31
