Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
3;18;86;1.575;;-77.29;-0.02;30.95;0.03;114.41;0.86;Beam | 1 - IPE 500 | L : 1.575 m
3;139;86;0.000;;-76.08;0.13;18.29;0.05;113.95;0.86;Beam | 1 - IPE 500 | L : 1.650 m
3;139;87;1.650;;-75.92;0.16;16.12;0.03;142.34;0.45;Beam | 1 - IPE 500 | L : 1.650 m
3;140;87;0.000;;-74.69;0.29;3.45;0.05;141.87;0.45;Beam | 1 - IPE 500 | L : 1.650 m
3;140;89;1.650;;-74.50;0.29;1.27;0.01;145.77;-0.27;Beam | 1 - IPE 500 | L : 1.650 m
3;141;89;0.000;;-73.73;0.41;-6.40;0.04;145.49;-0.27;Beam | 1 - IPE 500 | L : 0.150 m
3;141;21;0.150;;-73.71;0.41;-6.60;0.04;144.51;-0.36;Beam | 1 - IPE 500 | L : 0.150 m
3;19;21;0.000;;-73.67;-0.41;6.98;-0.03;144.51;-0.37;Beam | 1 - IPE 500 | L : 0.150 m
3;19;100;0.150;;-73.69;-0.41;6.78;-0.04;145.54;-0.27;Beam | 1 - IPE 500 | L : 0.150 m
3;142;100;0.000;;-74.46;-0.29;-0.88;-0.01;145.44;-0.28;Beam | 1 - IPE 500 | L : 1.650 m
3;142;99;1.650;;-74.65;-0.30;-3.07;-0.05;142.19;0.44;Beam | 1 - IPE 500 | L : 1.650 m
3;143;99;0.000;;-75.88;-0.17;-15.73;-0.03;142.02;0.43;Beam | 1 - IPE 500 | L : 1.650 m
3;143;98;1.650;;-76.04;-0.14;-17.90;-0.05;114.26;0.85;Beam | 1 - IPE 500 | L : 1.650 m
3;144;98;0.000;;-77.25;0.01;-30.56;-0.03;114.09;0.85;Beam | 1 - IPE 500 | L : 1.575 m
3;144;22;1.575;;-77.39;0.05;-32.59;-0.03;64.34;0.87;Beam | 1 - IPE 500 | L : 1.575 m
3;20;22;0.000;;-72.61;-0.06;-33.73;-0.03;64.34;0.87;Beam | 1 - IPE 500 | L : 0.075 m
3;20;97;0.075;;-72.61;-0.06;-33.82;-0.03;61.81;0.87;Beam | 1 - IPE 500 | L : 0.075 m
3;145;97;0.000;;-73.80;0.37;-46.49;0.09;61.64;0.86;Beam | 1 - IPE 500 | L : 1.650 m
3;145;96;1.650;;-73.97;0.31;-48.52;0.08;-16.77;0.25;Beam | 1 - IPE 500 | L : 1.650 m
3;146;96;0.000;;-75.16;0.45;-61.19;0.10;-16.94;0.24;Beam | 1 - IPE 500 | L : 1.650 m
3;146;95;1.650;;-75.41;0.31;-63.12;0.07;-119.54;-0.22;Beam | 1 - IPE 500 | L : 1.650 m
3;147;95;0.000;;-76.61;0.45;-75.79;0.10;-119.70;-0.23;Beam | 1 - IPE 500 | L : 1.650 m
3;147;23;1.650;;-77.03;0.21;-77.57;0.04;-246.27;-0.18;Beam | 1 - IPE 500 | L : 1.650 m
Extremes;20;22;0.000;N;-72.61;-0.06;-33.73;-0.03;64.34;0.87;Beam | 1 - IPE 500 | L : 0.075 m
3;18;20;0.000;N;-77.42;-0.06;32.98;0.03;64.05;0.87;Beam | 1 - IPE 500 | L : 1.575 m
3;146;96;0.000;V_y;-75.16;0.45;-61.19;0.10;-16.94;0.24;Beam | 1 - IPE 500 | L : 1.650 m
3;136;84;1.650;V_y;-75.19;-0.47;61.58;-0.11;-16.63;0.25;Beam | 1 - IPE 500 | L : 1.650 m
3;17;19;0.000;V_z;-77.07;-0.21;77.96;-0.04;-246.61;-0.18;Beam | 1 - IPE 500 | L : 1.650 m
3;147;23;1.650;V_z;-77.03;0.21;-77.57;0.04;-246.27;-0.18;Beam | 1 - IPE 500 | L : 1.650 m
3;146;96;0.000;M_T;-75.16;0.45;-61.19;0.10;-16.94;0.24;Beam | 1 - IPE 500 | L : 1.650 m
3;136;84;1.650;M_T;-75.19;-0.47;61.58;-0.11;-16.63;0.25;Beam | 1 - IPE 500 | L : 1.650 m
3;140;89;1.650;M_y;-74.50;0.29;1.27;0.01;145.77;-0.27;Beam | 1 - IPE 500 | L : 1.650 m
