Member No.;Line;;;Rotation;Section;;;Hinge;;Eccentricity;;Length;Volume;Mass;;;
;No.;Member Type;Section Distribution;β [deg] / Node No.;Start i;End j;Internal k;Start i;End j;Start i;End j;L [m];V [m^3 ];M [t];Position;Options;Comment
144;144;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.574938197915397;0.018190536185923;0.142795709059494;|| XZ;;
145;145;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388443;0.019057495661687;0.149601340944239;|| XZ;;
146;146;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000718929539;0.019057508303636;0.149601440183544;|| XZ;;
147;147;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388443;0.019057495661687;0.149601340944239;|| XZ;;
148;148;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
149;149;Beam;Uniform;5.71;4;4;4;3;2;3;4;5;0.004275;0.03355875;|| Y;;
150;150;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
151;151;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
152;152;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
153;153;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
154;154;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
155;155;Beam;Uniform;5.71;4;4;4;2;3;3;4;5;0.004275;0.03355875;|| Y;;
156;156;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
157;157;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
158;158;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
159;159;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
160;160;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
161;161;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
162;162;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000718929541;0.019057508303636;0.149601440183544;|| XZ;;
163;163;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388442;0.019057495661687;0.149601340944239;|| XZ;;
164;164;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.074937842856597;0.000865532084994;0.0067944268672;|| XZ;;
165;165;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892401;0.019057496810957;0.149601349966014;|| XZ;;
166;166;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892402;0.019057496810957;0.149601349966014;|| XZ;;
167;167;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.150000164883242;0.001732501904401;0.013600139949551;|| XZ;;
168;168;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892402;0.019057496810957;0.149601349966014;|| XZ;;
169;169;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892402;0.019057496810957;0.149601349966014;|| XZ;;
170;170;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.574938197915397;0.018190536185923;0.142795709059494;|| XZ;;
171;171;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388443;0.019057495661687;0.149601340944239;|| XZ;;
172;172;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000718929539;0.019057508303636;0.149601440183544;|| XZ;;
173;173;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388443;0.019057495661687;0.149601340944239;|| XZ;;
174;174;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
175;175;Beam;Uniform;5.71;4;4;4;3;2;3;4;5;0.004275;0.03355875;|| Y;;
176;176;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
177;177;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
178;178;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
179;179;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
180;180;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
181;181;Beam;Uniform;5.71;4;4;4;2;3;3;4;5;0.004275;0.03355875;|| Y;;
182;182;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
183;183;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
184;184;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
185;185;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
186;186;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
