Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
8;9;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;3.6;0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;3.6;0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;3.6;0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;φ_y;3.9;-0.1;0.0;-3.9;0.0;-1.7;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;3.6;0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;φ_z;3.9;-0.1;0.0;-3.9;0.0;-1.7;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
Total;;;;6.4;0.0;0.5;0.0;0.0;3.6;0.3;Beam | 2 - HEA 160 | L : 5.000 m
8;;;;0.0;-0.1;0.0;-6.4;0.0;-1.7;-0.3;Beam | 2 - HEA 160 | L : 5.000 m
;;;;;;;;;;;
9;10;0.000;;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.738;;3.9;0.0;0.3;-3.9;0.0;1.3;0.1;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;;4.3;0.0;0.3;-4.3;0.0;0.6;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;3.1;-0.1;-0.1;-3.1;0.0;-1.1;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;3.1;-0.1;-0.1;-3.1;0.0;-1.1;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;10;0.000;u_x;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;u_x;3.1;-0.1;-0.1;-3.1;0.0;-1.1;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;u_y;4.3;0.0;0.3;-4.3;0.0;0.6;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;u_y;3.1;-0.1;-0.1;-3.1;0.0;-1.1;-0.3;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;u_z;0.0;0.0;0.0;0.0;0.0;2.7;0.3;Beam | 2 - HEA 160 | L : 4.500 m
