Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Corresponding Loading
9;10;0.000;max;0.0;0.0;0.0;0.0;0.0;2.7;0.3;
9;10;0.000;min;0.0;0.0;0.0;0.0;0.0;-2.3;0.0;
9;;1.738;max;3.1;0.0;0.4;3.1;0.0;1.3;0.1;
9;;1.738;min;3.9;0.0;0.0;-3.9;0.0;-0.9;0.0;
9;;2.238;max;3.3;0.0;0.5;3.3;0.0;0.6;0.1;
9;;2.238;min;4.3;0.0;0.0;-4.3;0.0;-0.6;-0.1;
9;5;4.500;max;2.9;0.0;0.3;2.9;0.0;2.1;0.1;
9;5;4.500;min;3.1;-0.1;-0.3;-3.1;0.0;-1.2;-0.4;
9;5;4.500;max;2.9;0.0;0.3;2.9;0.0;2.1;0.1;
9;5;4.500;min;3.1;-0.1;-0.3;-3.1;0.0;-1.2;-0.4;
Extremes;10;0.000;u_x;0.0;0.0;0.0;0.0;0.0;2.7;0.3;CO20
9;5;4.500;u_x;3.1;-0.1;-0.3;-3.1;0.0;-1.2;-0.4;CO25
9;;2.238;u_y;3.3;0.0;0.5;3.3;0.0;0.6;0.1;CO25
9;5;4.500;u_y;3.1;-0.1;-0.3;-3.1;0.0;-1.2;-0.4;CO34
9;;2.238;u_z;3.3;0.0;0.5;3.3;0.0;0.6;0.1;CO34
9;;2.500;u_z;4.4;-0.1;-0.1;-4.4;0.0;-0.5;-0.1;CO35
9;10;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;2.7;0.3;CO20
9;10;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;-2.3;0.0;CO20
9;10;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;2.7;0.3;CO35
9;10;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;-2.3;0.0;CO34
9;10;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;2.7;0.3;CO25
9;5;4.500;φ_z;3.1;-0.1;-0.3;-3.1;0.0;-1.2;-0.4;CO24
Total;;;;4.4;0.0;0.5;3.3;0.0;2.7;0.3;
9;;;;0.0;-0.1;-0.3;-4.4;0.0;-2.3;-0.4;
;;;;;;;;;;;
10;11;0.000;max;0.0;0.0;0.0;0.0;0.0;2.2;0.3;
10;11;0.000;min;0.0;0.0;0.0;0.0;0.0;0.0;-0.3;
10;11;0.000;max;0.0;0.0;0.0;0.0;0.0;2.2;0.3;
10;11;0.000;min;0.0;0.0;0.0;0.0;0.0;0.0;-0.3;
10;;1.500;max;0.5;0.0;0.5;0.0;0.2;1.7;0.3;
10;;1.500;min;3.3;0.0;-0.4;-3.3;-0.1;-0.2;-0.3;
10;;1.500;max;0.5;0.0;0.5;0.0;0.2;1.7;0.3;
10;;1.500;min;3.3;0.0;-0.4;-3.3;-0.1;-0.2;-0.3;
10;12;4.000;max;2.0;-0.1;1.3;1.5;0.5;-0.3;0.4;
10;12;4.000;min;5.1;-0.1;-1.1;-5.0;-0.4;-2.0;-0.6;
10;12;4.000;max;2.0;-0.1;1.3;1.5;0.5;-0.3;0.4;
10;12;4.000;min;5.1;-0.1;-1.1;-5.0;-0.4;-2.0;-0.6;
Extremes;11;0.000;u_x;0.0;0.0;0.0;0.0;0.0;2.2;0.3;CO20
