FE Node No.;Coordinates;;;
;X [m];Y [m];Z [m];
567;20;7;-4;
568;20;7.5;-4;
569;20;8;-4;
570;20;8.5;-4;
571;20;9;-4;
572;20;9.5;-4;
573;20;10.5;-4;
574;20;11;-4;
575;20;11.5;-4;
576;20;12;-4;
577;20;12.5;-4;
578;20;13;-4;
579;20;13.5;-4;
580;20;14;-4;
581;20;14.5;-4;
582;20;15.5;-4;
583;20;16;-4;
584;20;16.5;-4;
585;20;17;-4;
586;20;17.5;-4;
587;20;18;-4;
588;20;18.5;-4;
589;20;19;-4;
590;20;19.5;-4;
591;20;20.5;-4;
592;20;21;-4;
593;20;21.5;-4;
594;20;22;-4;
595;20;22.5;-4;
596;20;23;-4;
597;20;23.5;-4;
598;20;24;-4;
599;20;24.5;-4;
600;1.847037842108259;20;-4.184703784210826;
601;2.052264261276918;20;-4.205226426127693;
602;2.257490680445576;20;-4.225749068044559;
603;2.462717099614235;20;-4.246271709961425;
604;2.667943518782894;20;-4.266794351878291;
605;2.873169937951553;20;-4.287316993795157;
606;3.078396357120212;20;-4.307839635712024;
607;0;0;-3.5;
608;3.488849192620918;20;-4.348884919262095;
609;3.694075608952965;20;-4.3694075608953;
610;3.899302025285013;20;-4.389930202528505;
611;4.10452844161706;20;-4.410452844161711;
612;4.309754857949107;20;-4.430975485794916;
613;4.514981274281156;20;-4.451498127428121;
614;4.720207690613202;20;-4.472020769061326;
615;0.205226375;0;-4.020522625;
616;4.934754843577094;20;-4.493475484357714;
617;4.944075580208938;20;-4.494407558020898;
618;4.953396316840782;20;-4.495339631684082;
619;4.962717053472626;20;-4.496271705347265;
620;4.97203779010447;20;-4.497203779010449;
621;4.981358526736314;20;-4.498135852673633;
622;4.990679263368156;20;-4.499067926336817;
623;0.41045275;0;-4.04104525;
624;9.86940136408435;20;-4.986940136408436;
625;9.8880583120723;20;-4.98880583120723;
626;9.90671526006025;20;-4.990671526006026;
627;9.9253722080482;20;-4.99253722080482;
628;9.94402915603615;20;-4.994402915603616;
629;9.962686104024103;20;-4.99626861040241;
630;9.98134305201205;20;-4.998134305201206;
631;0.615679125;0;-4.061567875;
632;8.414159533438747;20;-4.841415953343874;
633;8.619385945246982;20;-4.861938594524698;
634;8.82461235705522;20;-4.882461235705522;
635;9.029838768863456;20;-4.902983876886346;
636;9.235065180671691;20;-4.92350651806717;
637;9.440291592479928;20;-4.944029159247994;
638;9.645518004288164;20;-4.964551800428818;
639;6.772347984077848;20;-4.677234798407782;
640;6.977574432299658;20;-4.697757443229962;
641;7.182800880521466;20;-4.718280088052144;
642;7.388027328743276;20;-4.738802732874326;
643;7.593253776965084;20;-4.759325377696508;
644;7.798480225186894;20;-4.779848022518688;
645;8.003706673408702;20;-4.80037066734087;
646;1.64181104229396;15.5;-4.164181014229397;
647;1.64181108458792;16;-4.164181028458792;
648;1.64181112688188;16.5;-4.164181042688188;
649;1.64181116917584;17;-4.164181056917584;
650;1.6418112114698;17.5;-4.16418107114698;
651;1.64181125376376;18;-4.164181085376377;
652;1.64181129605772;18.5;-4.164181099605772;
653;1.64181133835168;19;-4.164181113835168;
654;1.64181138064564;19.5;-4.164181128064564;
655;1.8470375;15;-4.184703750000001;
656;2.052264;15;-4.2052265;
657;2.2574905;15;-4.22574925;
658;2.462717;15;-4.246272000000001;
659;2.6679435;15;-4.266794750000001;
660;2.87317;15;-4.287317500000001;
661;3.0783965;15;-4.30784025;
662;0.8209055;0;-4.0820905;
663;0;15.5;-4;
664;0;16;-4;
665;0;16.5;-4;
666;0;17;-4;
667;0;17.5;-4;
668;0;18;-4;
669;0;18.5;-4;
670;0;19;-4;
671;0;19.5;-4;
672;3.283622977628887;15.5;-4.328362927762889;
673;3.283622955257774;16;-4.328362855525779;
674;3.283622932886661;16.5;-4.328362783288667;
675;3.283622910515548;17;-4.328362711051557;
676;3.283622888144435;17.5;-4.328362638814445;
677;3.283622865773322;18;-4.328362566577334;
678;3.283622843402209;18.5;-4.328362494340223;
679;3.283622821031096;19;-4.328362422103112;
680;3.283622798659983;19.5;-4.328362349866002;
681;3.488849375;15;-4.348885625000001;
682;3.69407575;15;-4.36940825;
683;3.899302125;15;-4.389930875;
684;4.1045285;15;-4.4104535;
685;4.309754875000001;15;-4.430976125;
686;4.51498125;15;-4.45149875;
687;4.720207625;15;-4.472021375;
688;1.026131875;0;-4.102613125000001;
689;4.925434010694526;15.5;-4.492543941069453;
690;4.92543402138905;16;-4.492543882138906;
691;4.925434032083576;16.5;-4.492543823208359;
692;4.9254340427781;17;-4.492543764277812;
693;4.925434053472626;17.5;-4.492543705347265;
694;4.92543406416715;18;-4.492543646416718;
695;4.925434074861676;18.5;-4.492543587486171;
696;4.9254340855562;19;-4.492543528555625;
697;4.925434096250726;19.5;-4.492543469625077;
698;4.93475475;15;-4.493476;
699;4.9440755;15;-4.494408;
700;4.95339625;15;-4.49534;
701;4.962717;15;-4.496272;
702;4.97203775;15;-4.497204;
703;4.9813585;15;-4.498136;
704;4.99067925;15;-4.499068000000001;
705;6.567121953585604;15.5;-4.65671291535856;
706;6.56712190717121;16;-4.65671283071712;
707;6.567121860756812;16.5;-4.65671274607568;
708;6.567121814342416;17;-4.65671266143424;
709;6.56712176792802;17.5;-4.6567125767928;
710;6.567121721513624;18;-4.65671249215136;
711;6.567121675099228;18.5;-4.65671240750992;
712;6.567121628684832;19;-4.65671232286848;
713;6.567121582270436;19.5;-4.65671223822704;
714;6.772348375;15;-4.67723575;
715;6.97757475;15;-4.6977585;
716;7.182801125;15;-4.71828125;
717;7.3880275;15;-4.738804;
718;7.593253875;15;-4.75932675;
719;7.79848025;15;-4.7798495;
720;8.003706625;15;-4.800372250000002;
721;1.23135825;0;-4.123135750000001;
722;8.208933012163053;15.5;-4.820894831216306;
723;8.208933024326102;16;-4.82089466243261;
724;8.208933036489155;16.5;-4.820894493648916;
725;8.208933048652204;17;-4.82089432486522;
726;8.208933060815257;17.5;-4.820894156081526;
727;8.208933072978306;18;-4.82089398729783;
728;8.208933085141359;18.5;-4.820893818514136;
729;8.208933097304408;19;-4.82089364973044;
730;8.20893310946746;19.5;-4.820893480946746;
731;8.414159375000002;15;-4.84141775;
732;8.61938575;15;-4.8619405;
733;8.824612125;15;-4.882463250000002;
734;9.0298385;15;-4.902986;
735;9.235064875;15;-4.92350875;
736;9.440291250000001;15;-4.9440315;
737;9.645517625;15;-4.964554250000002;
738;1.436584625;0;-4.143658375;
739;1.641811;10.5;-4.164181;
740;1.641811;11;-4.164181;
741;1.641811;11.5;-4.164181;
742;1.641811;12;-4.164181;
743;1.641811;12.5;-4.164181;
744;1.641811;13;-4.164181;
745;1.641811;13.5;-4.164181;
746;1.641811;14;-4.164181;
747;1.641811;14.5;-4.164181;
748;5.19589025;0;-4.519589125;
749;18.35818861935436;19.5;-4.164181128064564;
750;18.35818866164832;19;-4.164181113835168;
751;18.35818870394228;18.5;-4.164181099605772;
752;18.35818874623624;18;-4.164181085376377;
753;18.3581887885302;17.5;-4.16418107114698;
754;18.35818883082416;17;-4.164181056917584;
755;18.35818887311812;16.5;-4.164181042688188;
756;18.35818891541208;16;-4.164181028458792;
757;18.35818895770604;15.5;-4.164181014229397;
758;5.97945125;0;-4.597945625;
759;20;19.5;-4;
760;20;19;-4;
