Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
7;8;0.000;κ_z;-0.02;0.00;0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;κ_z;-0.02;0.00;-0.01;0.0;1.4;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-0.02;0.00;0.08;0.0;1.4;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;;;-0.02;0.00;-0.05;-0.1;0.0;-0.2;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
8;9;0.000;;-0.01;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;;-0.01;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;;-0.01;0.00;0.00;-0.1;2.3;-0.2;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
Extremes;4;5.000;ε_x;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;ε_x;-0.01;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xy;-0.01;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;γ_xy;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;γ_xz;-0.01;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;γ_xz;-0.01;0.00;-0.07;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;0.500;κ_x;-0.01;0.00;0.09;0.0;0.9;-0.1;Beam | 2 - HEA 160 | L : 5.000 m
8;;3.500;κ_x;-0.01;0.00;-0.05;-0.1;1.7;-0.1;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;κ_y;-0.01;0.00;0.00;-0.1;2.3;-0.2;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_y;-0.01;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;κ_z;-0.01;0.00;0.11;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.500;κ_z;-0.01;0.00;-0.01;-0.1;2.3;-0.2;Beam | 2 - HEA 160 | L : 5.000 m
Total;;;;-0.01;0.00;0.11;0.0;2.3;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;;;-0.01;0.00;-0.07;-0.1;0.0;-0.2;Beam | 2 - HEA 160 | L : 5.000 m
;;;;;;;;;;
9;10;0.000;;-0.01;0.00;0.13;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;;-0.01;0.00;0.13;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.738;;-0.01;0.00;0.02;-0.1;2.2;-0.1;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;;-0.01;0.00;-0.01;-0.1;2.2;-0.1;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.01;0.00;-0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;;-0.01;0.00;-0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;5;4.500;ε_x;-0.01;0.00;-0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;ε_x;-0.01;0.00;0.13;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xy;-0.01;0.00;0.13;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;γ_xy;-0.01;0.00;-0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;γ_xz;-0.01;0.00;0.13;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;γ_xz;-0.01;0.00;-0.08;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;;0.500;κ_x;-0.01;0.00;0.09;0.0;1.0;-0.1;Beam | 2 - HEA 160 | L : 4.500 m
9;;3.000;κ_x;-0.01;0.00;-0.05;-0.1;1.8;-0.1;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;κ_y;-0.01;0.00;0.00;-0.1;2.3;-0.1;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_y;-0.01;0.00;0.13;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;κ_z;-0.01;0.00;0.13;0.0;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
