Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
207;44;Min.;1.3;-1.3;0.0;0.0;0.0;-5.7;-15.9;
207;37;Max.;0.0;0.0;0.0;0.0;0.0;-1.1;-4.5;
207;37;Min.;0.0;0.0;0.0;0.0;0.0;-5.5;-15.0;
208;130;Max.;0.0;0.0;0.0;0.0;0.0;20.6;-6.5;
208;130;Min.;0.0;0.0;0.0;0.0;0.0;-18.2;-27.5;
208;65;Max.;0.0;0.0;0.0;0.0;0.0;7.9;-7.3;
208;65;Min.;0.0;0.0;0.0;0.0;0.0;-13.9;-27.4;
209;131;Max.;0.0;0.0;0.0;0.0;0.0;4.1;-7.8;
209;131;Min.;0.0;0.0;0.0;0.0;0.0;-22.2;-28.2;
209;66;Max.;0.0;0.0;0.0;0.0;0.0;12.3;-6.1;
209;66;Min.;0.0;0.0;0.0;0.0;0.0;-14.8;-28.5;
210;132;Max.;0.0;0.0;0.0;0.0;0.0;5.1;-6.6;
210;132;Min.;0.0;0.0;0.0;0.0;0.0;-20.9;-27.9;
210;68;Max.;0.0;0.0;0.0;0.0;0.0;11.4;-6.4;
210;68;Min.;0.0;0.0;0.0;0.0;0.0;-12.0;-27.1;
211;133;Max.;0.0;0.0;0.0;0.0;0.0;7.4;-8.0;
211;133;Min.;0.0;0.0;0.0;0.0;0.0;-20.8;-28.3;
211;67;Max.;0.0;0.0;0.0;0.0;0.0;9.8;-6.9;
211;67;Min.;0.0;0.0;0.0;0.0;0.0;-9.0;-26.6;
212;52;Max.;0.0;0.0;0.0;0.0;0.0;9.8;-4.4;
212;52;Min.;0.0;0.0;0.0;0.0;0.0;-4.2;-17.2;
212;122;Max.;0.0;0.0;0.0;0.0;0.0;-1.5;-5.5;
212;122;Min.;0.0;0.0;0.0;0.0;0.0;-18.6;-18.1;
213;134;Max.;0.0;0.0;0.0;0.0;0.0;-1.4;-5.6;
213;134;Min.;0.0;0.0;0.0;0.0;0.0;-18.6;-17.9;
213;62;Max.;0.0;0.0;0.0;0.0;0.0;9.8;-4.5;
213;62;Min.;0.0;0.0;0.0;0.0;0.0;-4.2;-17.3;
Total;;;1.6;1.0;0.0;0.0;1.7;25.6;1.0;
max/min;;;0.0;-1.6;0.0;0.0;-1.6;-23.9;-30.0;
