Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;14;;0.037;M_T;-27.12;0.27;-11.27;0.04;20.63;-0.57;CO30
1;14;;0.037;M_T;-20.70;-0.26;-14.10;-0.04;21.71;0.59;CO33
1;14;;0.037;M_y;-48.55;-0.01;-23.73;0.00;48.26;0.00;CO24
1;14;;0.037;M_y;-25.53;-0.02;-13.91;-0.01;13.30;-0.01;CO31
1;14;;0.037;M_z;-32.84;-0.20;-20.15;-0.03;33.31;0.70;CO38
1;14;;0.037;M_z;-39.34;0.22;-17.38;0.04;32.10;-0.67;CO35
1;14;125;0.075;N;-20.68;-0.26;-14.22;-0.03;20.83;0.59;CO32
1;14;125;0.075;N;-49.52;0.10;-23.94;0.02;42.67;-0.47;CO25
1;14;125;0.075;V_y;-27.12;0.27;-11.30;0.04;20.20;-0.58;CO30
1;14;125;0.075;V_y;-20.68;-0.26;-14.22;-0.03;20.83;0.59;CO32
1;14;125;0.075;V_z;-25.48;-0.01;-11.06;-0.01;28.00;0.00;CO29
1;14;125;0.075;V_z;-45.58;-0.09;-25.66;-0.02;43.02;0.48;CO27
1;14;125;0.075;M_T;-27.12;0.27;-11.30;0.04;20.20;-0.58;CO30
1;14;125;0.075;M_T;-20.70;-0.26;-14.13;-0.04;21.18;0.60;CO33
1;14;125;0.075;M_y;-48.55;-0.01;-23.76;0.00;47.37;0.00;CO24
1;14;125;0.075;M_y;-25.53;-0.02;-13.94;-0.01;12.78;-0.01;CO31
1;14;125;0.075;M_z;-32.85;-0.20;-20.18;-0.03;32.55;0.71;CO38
1;14;125;0.075;M_z;-39.34;0.22;-17.41;0.04;31.44;-0.68;CO35
1;15;17;0.000;N;-33.06;-0.04;24.65;0.01;0.00;0.00;CO30
1;15;17;0.000;N;-77.62;0.03;48.35;0.00;0.00;0.00;CO27
1;15;17;0.000;V_y;-76.29;1.06;46.97;0.00;0.00;0.00;CO28
1;15;17;0.000;V_y;-50.04;-0.04;36.56;0.01;0.00;0.00;CO35
1;15;17;0.000;V_z;-77.62;0.03;48.35;0.00;0.00;0.00;CO27
1;15;17;0.000;V_z;-35.32;0.00;14.08;0.00;0.00;0.00;CO29
1;15;17;0.000;M_T;-50.04;-0.04;36.56;0.01;0.00;0.00;CO35
1;15;17;0.000;M_T;-66.62;0.05;38.51;-0.01;0.00;0.00;CO37
1;15;17;0.000;M_y;-76.29;1.06;46.97;0.00;0.00;0.00;CO28
1;15;17;0.000;M_y;-50.04;-0.04;36.56;0.01;0.00;0.00;CO35
1;15;17;0.000;M_z;-66.62;0.05;38.51;-0.01;0.00;0.00;CO37
1;15;17;0.000;M_z;-50.04;-0.04;36.56;0.01;0.00;0.00;CO35
1;15;17;0.000;N;-33.06;-0.04;24.65;0.01;0.00;0.00;CO30
1;15;17;0.000;N;-77.62;0.03;48.35;0.00;0.00;0.00;CO27
1;15;17;0.000;V_y;-76.29;1.06;46.97;0.00;0.00;0.00;CO28
1;15;17;0.000;V_y;-50.04;-0.04;36.56;0.01;0.00;0.00;CO35
1;15;17;0.000;V_z;-77.62;0.03;48.35;0.00;0.00;0.00;CO27
1;15;17;0.000;V_z;-35.32;0.00;14.08;0.00;0.00;0.00;CO29
1;15;17;0.000;M_T;-50.04;-0.04;36.56;0.01;0.00;0.00;CO35
1;15;17;0.000;M_T;-66.62;0.05;38.51;-0.01;0.00;0.00;CO37
1;15;17;0.000;M_y;-76.29;1.06;46.97;0.00;0.00;0.00;CO28
1;15;17;0.000;M_y;-35.32;0.00;14.08;0.00;0.00;0.00;CO29
1;15;17;0.000;M_z;-66.62;0.05;38.51;-0.01;0.00;0.00;CO37
1;15;17;0.000;M_z;-50.04;-0.04;36.56;0.01;0.00;0.00;CO35
1;15;;1.500;N;-31.71;-0.03;20.40;0.02;33.80;0.05;CO30
1;15;;1.500;N;-76.29;0.02;46.06;-0.02;70.83;-0.04;CO27
