Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
9;10;0.000;N;-16.78;0.27;3.17;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;V_y;-16.78;0.27;3.17;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;V_y;-15.41;-0.26;-1.94;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;V_z;-16.78;0.27;3.17;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;5;4.500;V_z;-15.41;-0.26;-1.94;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;;1.000;M_T;-16.48;0.15;1.60;0.00;2.39;-0.21;Beam | 2 - HEA 160 | L : 4.500 m
9;;3.000;M_T;-15.87;-0.09;-1.23;0.00;2.56;-0.26;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.000;M_y;-16.17;0.03;0.03;0.00;3.20;-0.30;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;M_y;-16.78;0.27;3.17;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;10;0.000;M_z;-16.78;0.27;3.17;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;;2.238;M_z;-16.10;0.00;-0.32;0.00;3.17;-0.30;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-15.41;0.27;3.17;0.00;3.20;0.00;Beam | 2 - HEA 160 | L : 4.500 m
9;;;;-16.78;-0.26;-1.94;0.00;0.00;-0.30;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
10;11;0.000;;-70.61;0.00;-46.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;11;0.000;;-70.61;0.00;-46.22;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-69.27;0.00;-46.01;0.00;-69.19;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;;1.500;;-69.27;0.00;-46.01;0.00;-69.19;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-67.15;0.00;-46.20;0.00;-184.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
10;12;4.000;;-67.15;0.00;-46.20;0.00;-184.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
